+-----------------------------------------------------------------------------------------------------------------------+
| key                                           | types                        | occurrences | percents                 |
| IBGE.GEOCODIGO                                | String                       |          23 |   0.00148329965813167436 |
| depth                                         | Object (10),String (12)      |          22 |   0.00141880836864768868 |
| is_in.continent                               | String                       |          22 |   0.00141880836864768868 |
| is_in.country                                 | String                       |          22 |   0.00141880836864768868 |
| is_in.state_code                              | String                       |          22 |   0.00141880836864768868 |
| waterway                                      | String                       |          22 |   0.00141880836864768868 |
| leaf_type                                     | String                       |          20 |   0.00128982578967971689 |
| lighthouse                                    | Object                       |          20 |   0.00128982578967971689 |
| lighthouse.shape                              | String                       |          20 |   0.00128982578967971689 |
| seamark.beacon_special_purpose                | Object                       |          20 |   0.00128982578967971689 |
| seamark.beacon_special_purpose.colour         | String                       |          20 |   0.00128982578967971689 |
| material                                      | String                       |          19 |   0.00122533450019573099 |
| monitoring                                    | Object                       |          18 |   0.00116084321071174531 |
| motor_vehicle                                 | String                       |          18 |   0.00116084321071174531 |
| note.pt                                       | String                       |          18 |   0.00116084321071174531 |
| seamark.beacon_lateral                        | Object                       |          18 |   0.00116084321071174531 |
| seamark.beacon_lateral.category               | String                       |          18 |   0.00116084321071174531 |
| seamark.notice                                | Object                       |          18 |   0.00116084321071174531 |
| seamark.notice.category                       | String                       |          18 |   0.00116084321071174531 |
| seamark.notice.system                         | String                       |          18 |   0.00116084321071174531 |
| support                                       | String                       |          18 |   0.00116084321071174531 |
| building.building                             | String                       |          17 |   0.00109635192122775941 |
| monitoring.air_quality                        | String                       |          17 |   0.00109635192122775941 |
| seamark.beacon_lateral.colour                 | String                       |          17 |   0.00109635192122775941 |
| seamark.beacon_lateral.system                 | String                       |          17 |   0.00109635192122775941 |
| supervised                                    | String                       |          17 |   0.00109635192122775941 |
| icao                                          | String                       |          16 |   0.00103186063174377351 |
| organic                                       | String                       |          16 |   0.00103186063174377351 |
| building.levels                               | String                       |          15 |   0.00096736934225978772 |
| display                                       | String                       |          14 |   0.00090287805277580182 |
| fuel.1_25                                     | String                       |          14 |   0.00090287805277580182 |
| fuel.diesel                                   | String                       |          14 |   0.00090287805277580182 |
| toilets.wheelchair                            | String                       |          14 |   0.00090287805277580182 |
| address.unit                                  | String                       |          13 |   0.00083838676329181603 |
| kerb                                          | String                       |          13 |   0.00083838676329181603 |
| name.es                                       | String                       |          13 |   0.00083838676329181603 |
| thermometer                                   | String                       |          13 |   0.00083838676329181603 |
| 2016olympicgames                              | String (5),Object (7)        |          12 |   0.00077389547380783013 |
| fuel.biogas                                   | String                       |          12 |   0.00077389547380783013 |
| fuel.e85                                      | String                       |          12 |   0.00077389547380783013 |
| generator                                     | Object                       |          12 |   0.00077389547380783013 |
| generator.source                              | String                       |          12 |   0.00077389547380783013 |
| leaf_cycle                                    | String                       |          12 |   0.00077389547380783013 |
| seamark.buoy_cardinal                         | Object                       |          12 |   0.00077389547380783013 |
| seamark.buoy_cardinal.category                | String                       |          12 |   0.00077389547380783013 |
| seamark.buoy_cardinal.colour                  | String                       |          12 |   0.00077389547380783013 |
| seamark.buoy_cardinal.colour_pattern          | String                       |          12 |   0.00077389547380783013 |
| seamark.buoy_cardinal.shape                   | String                       |          12 |   0.00077389547380783013 |
| wifi                                          | String                       |          12 |   0.00077389547380783013 |
| seamark.buoy_isolated_danger                  | Object                       |          11 |   0.00070940418432384434 |
| seamark.buoy_isolated_danger.colour           | String                       |          11 |   0.00070940418432384434 |
| seamark.buoy_isolated_danger.colour_pattern   | String                       |          11 |   0.00070940418432384434 |
| seamark.buoy_isolated_danger.shape            | String                       |          11 |   0.00070940418432384434 |
| seamark.landmark.function                     | String                       |          11 |   0.00070940418432384434 |
| address.state                                 | String                       |          10 |   0.00064491289483985844 |
| generator.method                              | String                       |          10 |   0.00064491289483985844 |
| name.fr                                       | String                       |          10 |   0.00064491289483985844 |
| service                                       | Object (3),String (7)        |          10 |   0.00064491289483985844 |
| stars                                         | String                       |          10 |   0.00064491289483985844 |
| tree                                          | String                       |          10 |   0.00064491289483985844 |
| artist_name                                   | String                       |           9 |   0.00058042160535587265 |
| building.architecture                         | String                       |           9 |   0.00058042160535587265 |
| disused.disused                               | String                       |           9 |   0.00058042160535587265 |
| height                                        | String                       |           9 |   0.00058042160535587265 |
| seamark.light.status                          | String                       |           9 |   0.00058042160535587265 |
| stranded                                      | String                       |           9 |   0.00058042160535587265 |
| address.door                                  | String                       |           8 |   0.00051593031587188675 |
| agency_name                                   | String                       |           8 |   0.00051593031587188675 |
| bridge                                        | String                       |           8 |   0.00051593031587188675 |
| cnpj                                          | String                       |           8 |   0.00051593031587188675 |
| fuel.electricity                              | String                       |           8 |   0.00051593031587188675 |
| funicular                                     | String                       |           8 |   0.00051593031587188675 |
| ie                                            | String                       |           8 |   0.00051593031587188675 |
| int_name                                      | String                       |           8 |   0.00051593031587188675 |
| school                                        | String                       |           8 |   0.00051593031587188675 |
| seamark.rock                                  | Object                       |           8 |   0.00051593031587188675 |
| seamark.rock.water_level                      | String                       |           8 |   0.00051593031587188675 |
| seats                                         | String                       |           8 |   0.00051593031587188675 |
| 2016olympicgames.2016olympicgames             | String                       |           7 |   0.00045143902638790091 |
| address.floor                                 | String                       |           7 |   0.00045143902638790091 |
| contact.website                               | String                       |           7 |   0.00045143902638790091 |
| depth.dangerous                               | String                       |           7 |   0.00045143902638790091 |
| fire_hydrant                                  | Object                       |           7 |   0.00045143902638790091 |
| fire_hydrant.type                             | String                       |           7 |   0.00045143902638790091 |
| fuel.cng                                      | String                       |           7 |   0.00045143902638790091 |
| internet_access.fee                           | String                       |           7 |   0.00045143902638790091 |
| internet_access.internet_access               | String                       |           7 |   0.00045143902638790091 |
| loc_name                                      | Object (4),String (3)        |           7 |   0.00045143902638790091 |
| name.de                                       | String                       |           7 |   0.00045143902638790091 |
| name.ru                                       | String                       |           7 |   0.00045143902638790091 |
| payment.bitcoin                               | String                       |           7 |   0.00045143902638790091 |
| seamark.beacon_special_purpose.category       | String                       |           7 |   0.00045143902638790091 |
| seamark.wreck.water_level                     | String                       |           7 |   0.00045143902638790091 |
| training                                      | String                       |           7 |   0.00045143902638790091 |
| 2016olympicgames.zone                         | String                       |           6 |   0.00038694773690391507 |
| date                                          | String (2),Object (4)        |           6 |   0.00038694773690391507 |
| end_date                                      | String                       |           6 |   0.00038694773690391507 |
| harbour                                       | String                       |           6 |   0.00038694773690391507 |
| real_name                                     | String                       |           6 |   0.00038694773690391507 |
| seamark.beacon_isolated_danger                | Object                       |           6 |   0.00038694773690391507 |
| seamark.beacon_isolated_danger.colour         | String                       |           6 |   0.00038694773690391507 |
| seamark.beacon_isolated_danger.colour_pattern | String                       |           6 |   0.00038694773690391507 |
| seamark.bridge                                | Object                       |           6 |   0.00038694773690391507 |
| seamark.bridge.category                       | String                       |           6 |   0.00038694773690391507 |
| seamark.bridge.clearance_height               | String                       |           6 |   0.00038694773690391507 |
| seamark.notice.1                              | Object                       |           6 |   0.00038694773690391507 |
| seamark.notice.1.system                       | String                       |           6 |   0.00038694773690391507 |
| seamark.notice.2                              | Object                       |           6 |   0.00038694773690391507 |
| seamark.notice.2.system                       | String                       |           6 |   0.00038694773690391507 |
| species                                       | Object (5),String (1)        |           6 |   0.00038694773690391507 |
| visibility                                    | String                       |           6 |   0.00038694773690391507 |
| address.room                                  | String                       |           5 |   0.00032245644741992922 |
| club                                          | String                       |           5 |   0.00032245644741992922 |
| colour                                        | String                       |           5 |   0.00032245644741992922 |
| description.description                       | String                       |           5 |   0.00032245644741992922 |
| diet                                          | Object                       |           5 |   0.00032245644741992922 |
| diet.vegetarian                               | String                       |           5 |   0.00032245644741992922 |
| food                                          | String                       |           5 |   0.00032245644741992922 |
| landmark                                      | String                       |           5 |   0.00032245644741992922 |
| razed                                         | Object                       |           5 |   0.00032245644741992922 |
