+----------------------------------------------------------------------------------------------------------------------------+
| key                                                 | types                        | occurrences | percents                |
| railway.preferred_direction                         | String                       |          76 |   0.0407766886109635629 |
| railway.railway                                     | String                       |          76 |   0.0407766886109635629 |
| proposed.landuse                                    | String                       |          75 |   0.0402401532345035146 |
| address.housename                                   | String                       |          73 |   0.0391670824815834248 |
| parking_lane                                        | String                       |          73 |   0.0391670824815834248 |
| level                                               | String                       |          72 |   0.0386305471051233765 |
| email                                               | String (70),Object (1)       |          71 |   0.0380940117286633281 |
| construction                                        | String                       |          70 |   0.0375574763522032798 |
| name.en                                             | String                       |          68 |   0.0364844055992831900 |
| office                                              | String                       |          68 |   0.0364844055992831900 |
| sac_scale                                           | String                       |          67 |   0.0359478702228231417 |
| hgv                                                 | String (53),Object (12)      |          65 |   0.0348747994699030450 |
| step_count                                          | String                       |          65 |   0.0348747994699030450 |
| covered                                             | String                       |          64 |   0.0343382640934430036 |
| historic                                            | String                       |          62 |   0.0332651933405229069 |
| cycleway.right                                      | String                       |          61 |   0.0327286579640628586 |
| incline                                             | String                       |          61 |   0.0327286579640628586 |
| oneway.oneway                                       | String                       |          59 |   0.0316555872111427689 |
| FIXME                                               | String                       |          57 |   0.0305825164582226722 |
| lanes.lanes                                         | String                       |          54 |   0.0289729103288425306 |
| motorcar                                            | String                       |          52 |   0.0278998395759224374 |
| oneway.bicycle                                      | String                       |          52 |   0.0278998395759224374 |
| IPP.CODATIVIDA                                      | String                       |          50 |   0.0268267688230023442 |
| IPP.CODBAIRRO                                       | String                       |          50 |   0.0268267688230023442 |
| IPP.COD_INEP                                        | String                       |          50 |   0.0268267688230023442 |
| IPP.CRE                                             | String                       |          50 |   0.0268267688230023442 |
| IPP.DESIGNACAO                                      | String                       |          50 |   0.0268267688230023442 |
| IPP.ID                                              | String                       |          50 |   0.0268267688230023442 |
| IPP.BAIRRO                                          | String                       |          49 |   0.0262902334465422993 |
| IPP.COD_SMA                                         | String                       |          49 |   0.0262902334465422993 |
| IPP.ENDNOVO                                         | String                       |          49 |   0.0262902334465422993 |
| IPP.CHAVE                                           | String                       |          48 |   0.0257536980700822510 |
| colour                                              | String                       |          48 |   0.0257536980700822510 |
| train                                               | String                       |          48 |   0.0257536980700822510 |
| wikimapa                                            | Object                       |          48 |   0.0257536980700822510 |
| wikimapa.author                                     | String                       |          48 |   0.0257536980700822510 |
| converted_by                                        | String                       |          47 |   0.0252171626936222026 |
| trail_visibility                                    | String                       |          47 |   0.0252171626936222026 |
| date_off                                            | String                       |          45 |   0.0241440919407021094 |
| date_on                                             | String                       |          45 |   0.0241440919407021094 |
| hour_off                                            | String                       |          45 |   0.0241440919407021094 |
| hour_on                                             | String                       |          45 |   0.0241440919407021094 |
| IPP.FLG_VALIDA                                      | String                       |          44 |   0.0236075565642420646 |
| location                                            | String                       |          43 |   0.0230710211877820162 |
| IPP.ORGAO1                                          | String                       |          42 |   0.0225344858113219679 |
| IPP.TUTELA1                                         | String                       |          42 |   0.0225344858113219679 |
| IPP.UC                                              | String                       |          42 |   0.0225344858113219679 |
| IPP.Classe                                          | String                       |          40 |   0.0214614150584018747 |
| motorcycle                                          | String                       |          40 |   0.0214614150584018747 |
| parking.condition.right                             | String (39),Object (1)       |          40 |   0.0214614150584018747 |
| source.ref                                          | String                       |          40 |   0.0214614150584018747 |
| indoor                                              | String                       |          39 |   0.0209248796819418298 |
| transit                                             | Object                       |          38 |   0.0203883443054817814 |
| transit.lanes                                       | String (30),Object (8)       |          38 |   0.0203883443054817814 |
| address.state                                       | String                       |          37 |   0.0198518089290217366 |
| IPP.ATOLEGAL                                        | String                       |          35 |   0.0187787381761016399 |
| capacity                                            | String (33),Object (2)       |          35 |   0.0187787381761016399 |
| disused                                             | String (28),Object (7)       |          35 |   0.0187787381761016399 |
| supervised                                          | String                       |          35 |   0.0187787381761016399 |
| lanes.backward                                      | String (18),Object (16)      |          34 |   0.0182422027996415950 |
| IPP.ENDERECO                                        | String                       |          33 |   0.0177056674231815467 |
| destination.destination                             | String                       |          33 |   0.0177056674231815467 |
| destination.en                                      | String                       |          32 |   0.0171691320467215018 |
| roof                                                | Object (27),String (5)       |          32 |   0.0171691320467215018 |
| IPP.TELEFONES                                       | String                       |          30 |   0.0160960612938014051 |
| groundcheck                                         | String                       |          30 |   0.0160960612938014051 |
| noname                                              | String                       |          29 |   0.0155595259173413603 |
| seamark.name                                        | String                       |          29 |   0.0155595259173413603 |
| cables                                              | String                       |          27 |   0.0144864551644212653 |
| cycleway.left                                       | String                       |          27 |   0.0144864551644212653 |
| segregated                                          | String                       |          27 |   0.0144864551644212653 |
| unit                                                | String                       |          26 |   0.0139499197879612187 |
| parking.lanes                                       | Object                       |          25 |   0.0134133844115011721 |
| parking.lanes.both                                  | String                       |          25 |   0.0134133844115011721 |
| atm                                                 | String                       |          24 |   0.0128768490350411255 |
| cutting                                             | String                       |          24 |   0.0128768490350411255 |
| route                                               | String                       |          24 |   0.0128768490350411255 |
| contact                                             | Object                       |          23 |   0.0123403136585810789 |
| escalator                                           | String                       |          23 |   0.0123403136585810789 |
| ramp                                                | String (22),Object (1)       |          23 |   0.0123403136585810789 |
| 2016olympicgames                                    | Object (18),String (4)       |          22 |   0.0118037782821210323 |
| tracks                                              | String                       |          22 |   0.0118037782821210323 |
| IPP.UCSTATUS                                        | String                       |          21 |   0.0112672429056609839 |
| shoulder                                            | String                       |          21 |   0.0112672429056609839 |
| IBGE                                                | Object                       |          20 |   0.0107307075292009373 |
| IBGE.CD_ADMINIS                                     | String                       |          20 |   0.0107307075292009373 |
| contact.phone                                       | String                       |          20 |   0.0107307075292009373 |
| fence_type                                          | String                       |          20 |   0.0107307075292009373 |
| name.etymology                                      | Object                       |          20 |   0.0107307075292009373 |
| name.etymology.wikidata                             | String                       |          20 |   0.0107307075292009373 |
| subway                                              | String                       |          20 |   0.0107307075292009373 |
| mtb                                                 | Object                       |          19 |   0.0101941721527408907 |
| mtb.scale                                           | Object (11),String (8)       |          19 |   0.0101941721527408907 |
| 2016olympicgames.2016olympicgames                   | String                       |          18 |   0.0096576367762808441 |
| int_name                                            | String                       |          18 |   0.0096576367762808441 |
| lanes.forward                                       | String (17),Object (1)       |          18 |   0.0096576367762808441 |
| 2016olympicgames.zone                               | String                       |          17 |   0.0091211013998207975 |
| history                                             | String                       |          17 |   0.0091211013998207975 |
| note.pt                                             | String                       |          17 |   0.0091211013998207975 |
| ship                                                | String (14),Object (3)       |          17 |   0.0091211013998207975 |
| substation                                          | String                       |          17 |   0.0091211013998207975 |
| IPP.CATEGORIA                                       | String                       |          16 |   0.0085845660233607509 |
| lanes.backward.conditional                          | String                       |          16 |   0.0085845660233607509 |
| lanes.psv                                           | Object (10),String (6)       |          16 |   0.0085845660233607509 |
| tracktype                                           | String                       |          16 |   0.0085845660233607509 |
| access.conditional                                  | String                       |          15 |   0.0080480306469007026 |
| roof.levels                                         | String                       |          15 |   0.0080480306469007026 |
| seamark.restricted_area                             | Object                       |          15 |   0.0080480306469007026 |
| IPP.OBS                                             | String                       |          14 |   0.0075114952704406568 |
| address.place                                       | String                       |          14 |   0.0075114952704406568 |
| canoe                                               | String                       |          14 |   0.0075114952704406568 |
| motorboat                                           | String                       |          14 |   0.0075114952704406568 |
| operator.type                                       | String                       |          14 |   0.0075114952704406568 |
| source_ref                                          | String                       |          14 |   0.0075114952704406568 |
| vehicle                                             | String (13),Object (1)       |          14 |   0.0075114952704406568 |
| club                                                | String                       |          13 |   0.0069749598939806094 |
| driving_side                                        | String                       |          13 |   0.0069749598939806094 |
| name.ru                                             | String                       |          13 |   0.0069749598939806094 |
| parking.lane.left.left                              | String                       |          13 |   0.0069749598939806094 |
| smoking                                             | String                       |          13 |   0.0069749598939806094 |
| aerialway                                           | String (6),Object (6)        |          12 |   0.0064384245175205627 |
| crossing                                            | String                       |          12 |   0.0064384245175205627 |
| hgv.conditional                                     | String                       |          12 |   0.0064384245175205627 |
| mofa                                                | String                       |          12 |   0.0064384245175205627 |
| wikidata                                            | String                       |          12 |   0.0064384245175205627 |
| wikipedia.pt                                        | String                       |          12 |   0.0064384245175205627 |
| fuel                                                | Object (10),String (1)       |          11 |   0.0059018891410605161 |
| intermittent                                        | String                       |          11 |   0.0059018891410605161 |
| substance                                           | String                       |          11 |   0.0059018891410605161 |
| tactile_paving                                      | String                       |          11 |   0.0059018891410605161 |
| dock                                                | String                       |          10 |   0.0053653537646004687 |
| fuel.cng                                            | String                       |          10 |   0.0053653537646004687 |
| lanes.psv.forward                                   | Object                       |          10 |   0.0053653537646004687 |
| lanes.psv.forward.conditional                       | String                       |          10 |   0.0053653537646004687 |
| mtb.scale.imba                                      | String                       |          10 |   0.0053653537646004687 |
| name.pt                                             | String                       |          10 |   0.0053653537646004687 |
| oneway.conditional                                  | String                       |          10 |   0.0053653537646004687 |
| parking.lane.left.capacity                          | String (9),Object (1)        |          10 |   0.0053653537646004687 |
| seamark.restricted_area.restriction                 | String                       |          10 |   0.0053653537646004687 |
| goods                                               | String                       |           9 |   0.0048288183881404221 |
| tram                                                | String                       |           9 |   0.0048288183881404221 |
| duration                                            | String                       |           8 |   0.0042922830116803755 |
| name.de                                             | String                       |           8 |   0.0042922830116803755 |
| name.ko                                             | String                       |           8 |   0.0042922830116803755 |
| protect_class                                       | String                       |           8 |   0.0042922830116803755 |
| restriction                                         | String                       |           8 |   0.0042922830116803755 |
| toilets                                             | Object                       |           8 |   0.0042922830116803755 |
| turn.lanes.forward                                  | String                       |           8 |   0.0042922830116803755 |
| heading                                             | String                       |           7 |   0.0037557476352203284 |
| icao                                                | String                       |           7 |   0.0037557476352203284 |
| length                                              | String                       |           7 |   0.0037557476352203284 |
| network                                             | String                       |           7 |   0.0037557476352203284 |
| protection_title                                    | String                       |           7 |   0.0037557476352203284 |
| roof.material                                       | String                       |           7 |   0.0037557476352203284 |
| abbr                                                | String                       |           6 |   0.0032192122587602814 |
| aerialway.aerialway                                 | String                       |           6 |   0.0032192122587602814 |
| aerialway.occupancy                                 | String                       |           6 |   0.0032192122587602814 |
| bridge.bridge                                       | String                       |           6 |   0.0032192122587602814 |
| bridge.structure                                    | String                       |           6 |   0.0032192122587602814 |
| leaf_type                                           | String                       |           6 |   0.0032192122587602814 |
| name.es                                             | String                       |           6 |   0.0032192122587602814 |
| overtaking                                          | String                       |           6 |   0.0032192122587602814 |
| parking.lane.right.capacity                         | String                       |           6 |   0.0032192122587602814 |
| related_law                                         | String                       |           6 |   0.0032192122587602814 |
| seamark.restricted_area.category                    | String                       |           6 |   0.0032192122587602814 |
| seamark.shoreline_construction                      | Object                       |           6 |   0.0032192122587602814 |
| seamark.shoreline_construction.category             | String                       |           6 |   0.0032192122587602814 |
| shelter                                             | String                       |           6 |   0.0032192122587602814 |
| transit.lanes.forward                               | String                       |           6 |   0.0032192122587602814 |
